pair,publication_date,signal,single_leg,fwd_ret_1w,fwd_ret_2w,fwd_ret_4w,fwd_ret_8w
EUR/AUD,2012-06-15,-1.4991182813215933,False,-0.011599898338317871,-0.020769953727722168,-0.05750000476837158,-0.0979999303817749
EUR/AUD,2012-06-22,-0.5024717787655775,False,-0.009170055389404297,-0.043830037117004395,-0.07150006294250488,-0.07500004768371582
EUR/AUD,2012-06-29,-0.17251386780327294,False,-0.0346599817276001,-0.036730051040649414,-0.05903005599975586,-0.03576004505157471
EUR/AUD,2012-07-06,0.09506847111225736,False,-0.0020700693130493164,-0.02767002582550049,-0.040870070457458496,0.011430025100708008
EUR/AUD,2012-07-13,0.7436984263064037,False,-0.025599956512451172,-0.022300004959106445,-0.04049992561340332,0.02500009536743164
EUR/AUD,2012-07-20,0.5357523224244105,False,0.0032999515533447266,-0.013200044631958008,-0.0034999847412109375,0.05560004711151123
EUR/AUD,2012-07-27,0.8539749072760299,False,-0.016499996185302734,-0.018199920654296875,0.023270010948181152,0.06210005283355713
EUR/AUD,2012-08-03,1.0511599592226462,False,-0.0016999244689941406,0.00970005989074707,0.052300095558166504,0.072640061378479
EUR/AUD,2012-08-10,1.5685365964967375,False,0.011399984359741211,0.04146993160247803,0.06550002098083496,0.10769999027252197
EUR/AUD,2012-08-17,2.1877512031692783,False,0.030069947242736816,0.042600035667419434,0.05910003185272217,0.08689999580383301
EUR/AUD,2012-08-24,2.7765046078596294,False,0.012530088424682617,0.024030089378356934,0.03883004188537598,0.05572998523712158
EUR/AUD,2012-08-31,2.08658743552765,False,0.011500000953674316,0.016499996185302734,0.0203399658203125,0.033299922943115234
EUR/AUD,2012-09-07,1.455975502257958,False,0.004999995231628418,0.014799952507019043,0.04219996929168701,0.014999985694885254
EUR/AUD,2012-09-14,1.5522111072121851,False,0.009799957275390625,0.0038399696350097656,0.02779996395111084,-0.008010029792785645
EUR/AUD,2012-09-21,1.2969224960916146,False,-0.005959987640380859,0.02740001678466797,0.016899943351745605,-0.006800055503845215
EUR/AUD,2012-09-28,1.747891205781477,False,0.03336000442504883,0.023959994316101074,0.012959957122802734,0.0034600496292114258
