pair,bar_time,direction,bucket,ribbon_status,rib_against,rib_strongly_against,hf_conflict,status,gross_pips,net_pips,bars_to_resolve,hours_held,stop_pips
NZD/CHF,2026-08-30 20:00,SELL,would_D_ribbon,LEANING_BULL,True,False,False,WIN,30.0,24.1,6,24.0,15
NZD/CHF,2026-08-31 00:00,BUY,clean,CONVERGING,False,False,False,LOSS,-15.0,-20.0,5,20.0,15
NZD/CHF,2026-08-31 00:00,SELL,clean,CONVERGING,False,False,False,WIN,30.0,24.2,5,20.0,15
NZD/CHF,2026-08-31 04:00,BUY,clean,LEANING_BULL,False,False,False,LOSS,-15.0,-20.1,4,16.0,15
NZD/CHF,2026-08-31 04:00,SELL,would_D_ribbon,LEANING_BULL,True,False,False,WIN,30.0,24.3,4,16.0,15
NZD/CHF,2026-08-31 08:00,BUY,clean,NEUTRAL,False,False,False,LOSS,-15.0,-20.2,3,12.0,15
NZD/CHF,2026-08-31 08:00,SELL,clean,NEUTRAL,False,False,False,WIN,30.0,24.4,3,12.0,15
NZD/CHF,2026-08-31 12:00,BUY,clean,NEUTRAL,False,False,False,LOSS,-15.0,-20.3,2,8.0,15
NZD/CHF,2026-08-31 12:00,SELL,clean,NEUTRAL,False,False,False,WIN,30.0,24.4,2,8.0,15
NZD/CHF,2026-08-31 16:00,BUY,clean,NEUTRAL,False,False,False,LOSS,-15.0,-20.3,1,4.0,15
NZD/CHF,2026-08-31 16:00,SELL,clean,NEUTRAL,False,False,False,WIN,30.0,24.5,1,4.0,15
NZD/CHF,2026-08-31 20:00,BUY,clean,NEUTRAL,False,False,False,LOSS,-15.0,-20.2,3,12.0,15
NZD/CHF,2026-08-31 20:00,SELL,clean,NEUTRAL,False,False,False,WIN,30.0,24.0,7,28.0,15
NZD/CHF,2026-09-01 00:00,BUY,clean,NEUTRAL,False,False,False,LOSS,-15.0,-20.0,5,20.0,15
NZD/CHF,2026-09-01 00:00,SELL,clean,NEUTRAL,False,False,False,WIN,30.0,24.1,6,24.0,15
NZD/CHF,2026-09-01 04:00,BUY,clean,NEUTRAL,False,False,False,LOSS,-15.0,-20.0,5,20.0,15
NZD/CHF,2026-09-01 04:00,SELL,clean,NEUTRAL,False,False,False,WIN,30.0,24.2,5,20.0,15
NZD/CHF,2026-09-01 08:00,BUY,clean,NEUTRAL,False,False,False,LOSS,-15.0,-20.1,4,16.0,15
NZD/CHF,2026-09-01 08:00,SELL,clean,NEUTRAL,False,False,False,LOSS,-15.0,-20.5,1,4.0,15
NZD/CHF,2026-09-01 12:00,BUY,clean,NEUTRAL,False,False,False,LOSS,-15.0,-20.3,2,8.0,15
NZD/CHF,2026-09-01 12:00,SELL,clean,NEUTRAL,False,False,False,WIN,30.0,24.4,3,12.0,15
NZD/CHF,2026-09-01 16:00,BUY,clean,NEUTRAL,False,False,False,LOSS,-15.0,-20.3,2,8.0,15
NZD/CHF,2026-09-01 16:00,SELL,clean,NEUTRAL,False,False,False,LOSS,-15.0,-20.6,2,8.0,15
NZD/CHF,2026-09-01 20:00,BUY,clean,NEUTRAL,False,False,False,LOSS,-15.0,-20.3,1,4.0,15
NZD/CHF,2026-09-01 20:00,SELL,clean,NEUTRAL,False,False,False,WIN,30.0,24.5,1,4.0,15
NZD/CHF,2026-09-02 00:00,BUY,clean,NEUTRAL,False,False,False,LOSS,-20.0,-25.0,5,20.0,20
NZD/CHF,2026-09-02 00:00,SELL,clean,NEUTRAL,False,False,False,LOSS,-20.0,-26.6,15,60.0,20
NZD/CHF,2026-09-02 04:00,BUY,clean,NEUTRAL,False,False,False,LOSS,-20.0,-25.1,4,16.0,20
NZD/CHF,2026-09-02 04:00,SELL,clean,NEUTRAL,False,False,False,LOSS,-20.0,-26.3,11,44.0,20
NZD/CHF,2026-09-02 08:00,BUY,would_D_ribbon,LEANING_BEAR,True,False,False,LOSS,-20.0,-25.2,3,12.0,20
NZD/CHF,2026-09-02 08:00,SELL,clean,LEANING_BEAR,False,False,False,LOSS,-20.0,-26.2,10,40.0,20
NZD/CHF,2026-09-02 12:00,BUY,would_D_ribbon,LEANING_BEAR,True,False,False,LOSS,-20.0,-25.3,2,8.0,20
NZD/CHF,2026-09-02 12:00,SELL,clean,LEANING_BEAR,False,False,False,EXPIRED,-11.6,-18.0,13,52.0,20
NZD/CHF,2026-09-02 16:00,BUY,would_D_ribbon,LEANING_BEAR,True,False,False,LOSS,-15.0,-20.3,1,4.0,15
NZD/CHF,2026-09-02 16:00,SELL,clean,LEANING_BEAR,False,False,False,WIN,30.0,24.5,1,4.0,15
NZD/CHF,2026-09-02 20:00,BUY,would_D_ribbon,LEANING_BEAR,True,False,False,LOSS,-20.0,-25.3,2,8.0,20
NZD/CHF,2026-09-02 20:00,SELL,clean,LEANING_BEAR,False,False,False,WIN,40.0,34.1,6,24.0,20
NZD/CHF,2026-09-03 00:00,BUY,would_D_ribbon,LEANING_BEAR,True,False,False,LOSS,-20.0,-25.3,1,4.0,20
NZD/CHF,2026-09-03 00:00,SELL,clean,LEANING_BEAR,False,False,False,WIN,40.0,34.4,3,12.0,20
NZD/CHF,2026-09-03 04:00,BUY,would_D_ribbon,LEANING_BEAR,True,False,False,LOSS,-20.0,-25.3,2,8.0,20
NZD/CHF,2026-09-03 04:00,SELL,clean,LEANING_BEAR,False,False,False,LOSS,-20.0,-25.8,5,20.0,20
NZD/CHF,2026-09-03 08:00,BUY,would_D_ribbon,LEANING_BEAR,True,False,False,LOSS,-20.0,-25.3,1,4.0,20
NZD/CHF,2026-09-03 08:00,SELL,clean,LEANING_BEAR,False,False,False,LOSS,-20.0,-26.0,7,28.0,20
NZD/CHF,2026-09-03 12:00,BUY,would_D_ribbon,LEANING_BEAR,True,False,False,LOSS,-20.0,-25.3,2,8.0,20
NZD/CHF,2026-09-03 12:00,SELL,clean,LEANING_BEAR,False,False,False,EXPIRED,-14.4,-20.4,7,28.0,20
NZD/CHF,2026-09-03 16:00,BUY,would_D_ribbon,LEANING_BEAR,True,False,False,LOSS,-20.0,-25.3,1,4.0,20
NZD/CHF,2026-09-03 16:00,SELL,clean,LEANING_BEAR,False,False,False,LOSS,-20.0,-25.8,5,20.0,20
NZD/CHF,2026-09-03 20:00,BUY,would_D_ribbon,LEANING_BEAR,True,False,False,EXPIRED,13.6,8.6,5,20.0,20
NZD/CHF,2026-09-03 20:00,SELL,clean,LEANING_BEAR,False,False,False,EXPIRED,-13.6,-19.4,5,20.0,20
NZD/CHF,2026-09-04 00:00,BUY,would_D_ribbon,LEANING_BEAR,True,False,False,EXPIRED,-0.6,-5.7,4,16.0,20
NZD/CHF,2026-09-04 00:00,SELL,clean,LEANING_BEAR,False,False,False,EXPIRED,0.6,-5.1,4,16.0,20
NZD/CHF,2026-09-04 04:00,BUY,would_D_ribbon,LEANING_BEAR,True,False,False,EXPIRED,8.7,3.5,3,12.0,20
