pair,direction,publication_date,fired_side,fired_type,currency,fwd_5d,fwd_10d,fwd_20d
EUR/USD,SELL,2012-06-29,base,UNWINDING,EUR,-0.00493311882019043,-0.024816274642944336,-0.016041874885559082
EUR/USD,SELL,2012-07-06,base,UNWINDING,EUR,-0.019883155822753906,-0.011470675468444824,-0.02113056182861328
EUR/USD,SELL,2012-09-28,base,UNWINDING,EUR,0.010421991348266602,0.0020041465759277344,0.0025061368942260742
EUR/USD,SELL,2012-10-05,base,UNWINDING,EUR,-0.008417844772338867,0.005171775817871094,-0.00691068172454834
EUR/USD,SELL,2012-10-12,quote,REVERSING,USD,0.013589620590209961,0.0005019903182983398,-0.018791675567626953
EUR/USD,BUY,2012-11-09,quote,REVERSING,USD,0.003910660743713379,0.012980103492736816,0.016070842742919922
EUR/USD,BUY,2012-11-16,quote,REVERSING,USD,0.009069442749023438,0.018907904624938965,0.03814089298248291
EUR/USD,BUY,2012-11-23,quote,REVERSING,USD,0.009838461875915527,0.0030907392501831055,0.0306854248046875
EUR/USD,SELL,2012-12-21,base,UNWINDING,EUR,0.0012630224227905273,-0.02049565315246582,0.013489127159118652
EUR/USD,SELL,2012-12-27,base,UNWINDING,EUR,-0.004358649253845215,-0.017093300819396973,0.008272647857666016
EUR/USD,SELL,2013-01-03,base,REVERSING,EUR,-0.012734651565551758,0.010862588882446289,0.03861594200134277
EUR/USD,BUY,2013-01-11,quote,REVERSING,USD,0.009939789772033691,0.009617924690246582,0.011622786521911621
EUR/USD,BUY,2013-01-18,base,REVERSING,EUR,-0.0003218650817871094,0.023843765258789062,-0.0019642114639282227
EUR/USD,SELL,2013-01-18,base,REVERSING,EUR,-0.0003218650817871094,0.023843765258789062,-0.0019642114639282227
EUR/USD,BUY,2013-01-25,quote,REVERSING,USD,0.024165630340576172,0.002004861831665039,-0.01749885082244873
EUR/USD,SELL,2013-02-01,base,REVERSING,EUR,-0.022160768508911133,-0.025807976722717285,-0.05510520935058594
EUR/USD,BUY,2013-03-01,base,REVERSING,EUR,0.005136966705322266,-0.004758238792419434,-0.02440333366394043
EUR/USD,BUY,2013-03-08,base,REVERSING,EUR,-0.0098952054977417,-0.020642399787902832,-0.018306732177734375
